EmployeeID,JobRole,CurrentSkill
1,Sales Executive,Salesforce
1,Sales Executive,Excel
1,Sales Executive,CRM Software
2,Research Scientist,R
2,Research Scientist,Data Analysis
2,Research Scientist,Python
4,Laboratory Technician,Excel
4,Laboratory Technician,Data Entry
5,Research Scientist,Machine Learning
5,Research Scientist,Statistics
5,Research Scientist,Python
5,Research Scientist,R
7,Laboratory Technician,Sample Preparation
7,Laboratory Technician,Quality Control
7,Laboratory Technician,Lab Safety
8,Laboratory Technician,Lab Safety
8,Laboratory Technician,Excel
8,Laboratory Technician,Quality Control
10,Laboratory Technician,Lab Safety
10,Laboratory Technician,Sample Preparation
11,Laboratory Technician,Sample Preparation
11,Laboratory Technician,Data Entry
11,Laboratory Technician,Excel
12,Manufacturing Director,ERP
12,Manufacturing Director,Lean Six Sigma
13,Healthcare Representative,Customer Service
13,Healthcare Representative,EMR Software
13,Healthcare Representative,Communication
14,Laboratory Technician,Lab Safety
14,Laboratory Technician,Sample Preparation
15,Laboratory Technician,Excel
15,Laboratory Technician,Data Entry
15,Laboratory Technician,Lab Safety
16,Research Scientist,Python
16,Research Scientist,Statistics
16,Research Scientist,Lab Equipment
18,Laboratory Technician,Lab Safety
18,Laboratory Technician,Data Entry
18,Laboratory Technician,Sample Preparation
19,Laboratory Technician,Quality Control
19,Laboratory Technician,Lab Safety
19,Laboratory Technician,Data Entry
20,Manufacturing Director,Lean Six Sigma
20,Manufacturing Director,ERP
20,Manufacturing Director,Operations Management
20,Manufacturing Director,Supply Chain
21,Research Scientist,R
21,Research Scientist,Lab Equipment
21,Research Scientist,Python
21,Research Scientist,Statistics
22,Laboratory Technician,Sample Preparation
22,Laboratory Technician,Quality Control
22,Laboratory Technician,Lab Safety
23,Manager,Project Management
23,Manager,Strategic Planning
23,Manager,Budgeting
24,Research Scientist,Data Analysis
24,Research Scientist,Lab Equipment
24,Research Scientist,Statistics
26,Manufacturing Director,Operations Management
26,Manufacturing Director,Budgeting
27,Sales Representative,CRM
27,Sales Representative,Communication
28,Research Director,Leadership
28,Research Director,Python
28,Research Director,Data Analysis
30,Research Scientist,Lab Equipment
30,Research Scientist,Python
30,Research Scientist,Data Analysis
30,Research Scientist,R
31,Research Scientist,R
31,Research Scientist,Python
31,Research Scientist,Data Analysis
31,Research Scientist,Lab Equipment
32,Manager,Leadership
32,Manager,Performance Management
32,Manager,Budgeting
33,Research Scientist,R
33,Research Scientist,Statistics
33,Research Scientist,Lab Equipment
33,Research Scientist,Machine Learning
35,Sales Executive,Negotiation
35,Sales Executive,Lead Generation
35,Sales Executive,Salesforce
36,Healthcare Representative,Medical Records
36,Healthcare Representative,Patient Care
38,Manager,Leadership
38,Manager,Budgeting
39,Laboratory Technician,Data Entry
39,Laboratory Technician,Quality Control
39,Laboratory Technician,Lab Safety
39,Laboratory Technician,Sample Preparation
40,Healthcare Representative,Patient Care
