Feature,SHAP_Importance
YearsSinceLastPromotion,0.6005163608003911
TotalWorkingYears,0.5347156913754287
NumCompaniesWorked,0.36863623619972036
OverTime_No,0.352452669608363
OverTime_Yes,0.34831288106730907
JobInvolvement,0.34804163943289657
Age,0.31083741698196904
DistanceFromHome,0.29783042465637205
JobRole_Laboratory Technician,0.2801165192300639
Satisfaction_Index,0.2761773626211956
BusinessTravel_Travel_Frequently,0.26003794998139723
StockOptionLevel,0.2590361887982321
Experience_Ratio,0.2490838707948249
EnvironmentSatisfaction,0.24669214692116884
Promotion_Gap_Ratio,0.24052807886918162
YearsWithCurrManager,0.23309554136606422
YearsInCurrentRole,0.2282487372128217
MaritalStatus_Single,0.21609684705026153
JobLevel,0.1666767447937058
JobSatisfaction,0.1664142931866947
DailyRate,0.1610703609067474
TrainingTimesLastYear,0.1584777560424422
BusinessTravel_Non-Travel,0.15072728214986292
WorkLifeBalance,0.13102707762249008
Department_Research & Development,0.13043189421468632
Department_Sales,0.12071364804788401
EducationField_Medical,0.12005814670959326
JobRole_Sales Representative,0.1155649733088384
JobRole_Research Director,0.1113131875666229
MaritalStatus_Divorced,0.10625480978656479
Income_Per_Year_At_Company,0.09548488463659707
MaritalStatus_Married,0.08987201133605019
PercentSalaryHike,0.08553196658803498
EducationField_Other,0.08083962239983014
RelationshipSatisfaction,0.076801594793832
Gender_Female,0.07591510917168955
JobRole_Healthcare Representative,0.07495839998222073
JobRole_Research Scientist,0.07170932447669963
JobRole_Manufacturing Director,0.07074712762105947
Gender_Male,0.07061840752803983
EducationField_Life Sciences,0.06598894132906935
EducationField_Technical Degree,0.04336874073120353
PerformanceRating,0.03837455177986579
HourlyRate,0.020603884892042394
EducationField_Marketing,0.019148453146362463
YearsAtCompany,0.0165729341608776
JobRole_Human Resources,0.015355460610528915
EducationField_Human Resources,0.015066159509267518
MonthlyRate,0.011246563381059026
JobRole_Sales Executive,0.010690904008492867
MonthlyIncome,0.008521016344899417
Education,0.004501443997756675
JobRole_Manager,0.003794916584872751
BusinessTravel_Travel_Rarely,0.0023348804279605616
Department_Human Resources,0.0005393914686458471
